alpha,attack1,attack2,attack3,attack4,R1,R2,R3,R4
0.01,0.06288503387641692,0.21907610401907918,0.31209457517943867,0.4353039899645545,1.4865136224785926,1.4902843474720693,1.4925376874905547,1.4955315941168918
0.0198989898989899,0.06381900619167355,0.22147383316747438,0.314756975757941,0.4375690043513575,1.4731907923530743,1.4807353675388741,1.4852257233408515,1.4911709235490898
0.0297979797979798,0.064653789264996,0.22366840738956947,0.31721931472117737,0.4396884626560721,1.4598958892874487,1.4712558920589625,1.47798944366458,1.4868730730621453
0.039696969696969696,0.06538749047704648,0.22565888060606556,0.31948362730176827,0.44165964933625196,1.4466296791555027,1.4618472481164055,1.4708299360723114,1.4826385688660204
0.049595959595959596,0.06601813363998485,0.2274440306031341,0.3215536018802143,0.4434972343769469,1.4333929525841267,1.4525107758165552,1.4637482847358216,1.478467926696524
0.059494949494949496,0.06654365139863819,0.22904095218425063,0.3234487349440779,0.445216662644321,1.4201865257766377,1.4432478273723635,1.456745569157085,1.4743616512282234
0.0693939393939394,0.0669618768597331,0.23044744001875064,0.3251651681003271,0.44681327483876293,1.407011241356955,1.4340597661124885,1.449822862893985,1.4703202354887668
0.07929292929292929,0.06727053364206058,0.2316678229394681,0.3267229621977647,0.4483003958643003,1.3938679692341736,1.4249479654090922,1.4429812322445148,1.4663441602759824
0.0891919191919192,0.0674672234857406,0.2327062941956214,0.3281226849137205,0.4496921349788228,1.3807576074869312,1.4159138075234525,1.4362217348915343,1.4624338935791734
0.09909090909090909,0.06754941031285389,0.23356692016729877,0.3293661772918682,0.45098236574196743,1.3676810832667916,1.4069586823677946,1.4295454185104564,1.4585898900060459
0.10898989898989898,0.06752189781609931,0.23424748331161985,0.33047179007390265,0.45218331344105245,1.354639353719673,1.3980839861820342,1.4229533193425556,1.4548125902167426
0.11888888888888889,0.06736792172117895,0.2347643503866948,0.3314337761095439,0.45330796885893343,1.3416334069241478,1.389291120124482,1.416446460736898,1.4511024203664733
0.12878787878787878,0.06709818707753282,0.23511481305272858,0.3322715359116164,0.4543491217392419,1.3286642628451906,1.380581488775928,1.4100258516642192,1.4474597915582499
0.1386868686868687,0.06669669950476478,0.23530251454951917,0.33298414041375274,0.4553180771542011,1.3157329743017008,1.3719564985569472,1.403692485206384,1.4438850993072392
0.1485858585858586,0.06617356076866766,0.235331006044021,0.33357161495969917,0.45622685895502674,1.302840627945833,1.363417556058732,1.3974473370253766,1.440378723018254
0.15848484848484848,0.06551170762133536,0.235203753605769,0.3340524608476775,0.4570674952582085,1.2899883452518495,1.3549660662882392,1.3912913638160775,1.4369410254778907
0.16838383838383839,0.06472231417812305,0.23492414484356086,0.3344253929517442,0.4578504965438374,1.277177283511862,1.346603430828989,1.3852255017473656,1.4335723523628157
0.1782828282828283,0.06379434498950645,0.2344954952178927,0.3346898006389171,0.45858701941337504,1.2644086368354501,1.3383310459194147,1.3792506648963694,1.4302730317656795
0.18818181818181817,0.06272404878769149,0.23392105402143964,0.33486378642925857,0.45926861168202093,1.2516836371497186,1.3301503004512631,1.3733677436809575,1.4270433737401085
0.19808080808080808,0.06151538333545075,0.233204009998518,0.33494559745844565,0.4599050714078031,1.2390035551959138,1.3220625738911802,1.3675776032957818,1.4238836698661919
0.207979797979798,0.060148761361007726,0.23235484754161312,0.33493393170728625,0.4605067473810203,1.2263697015182147,1.3140692341292795,1.3618810821574194,1.4207941928378396
0.21787878787878787,0.05863521631319449,0.23136250095617703,0.33484692170064617,0.4610649594951977,1.2137834274397932,1.306171635259167,1.3562789903643369,1.417775196073332
0.22777777777777777,0.05696237787603317,0.23023691782314792,0.33468224759454834,0.46158884107558634,1.201246126020655,1.2983711152945938,1.3507721081775612,1.414826913350328
0.23767676767676768,0.055125291262718604,0.22898110898173266,0.3344378560393144,0.46208163430686594,1.1887592329911654,1.2906689938286209,1.3453611845280604,1.4119495584665336
0.2475757575757576,0.053126985306674215,0.2276057062855255,0.3341322857442586,0.46255364508856767,1.1763242276545043,1.283066569641888,1.340046935556928,1.4091433249271574
0.25747474747474747,0.05095378406365222,0.226099244805481,0.33376255499639507,0.46299437865834153,1.1639426337505858,1.2755651182672896,1.3348300431945024,1.406408385660209
0.2673737373737374,0.048599576968802974,0.224471550254156,0.3333330052090595,0.4634129889089721,1.151616020273255,1.2681658895190613,1.3297111537845656,1.4037448927605964
0.2772727272727273,0.04606663853606288,0.22273384626074438,0.332841282299602,0.46381893113466316,1.1393460022317723,1.2608701049949516,1.32469087675972,1.4011529772639095
0.2871717171717172,0.0433484559321545,0.22087361184267976,0.33230528005683946,0.4642021290844059,1.127134241346792,1.2536789555608052,1.3197697833739546,1.3986327489506616
0.2970707070707071,0.04043760707044593,0.21890954248073535,0.33172187999249864,0.46457102845991166,1.1149824466701803,1.2465935988275005,1.3149484054982872,1.3961842961816635
0.30696969696969695,0.037326136093654365,0.21682887608462006,0.33109509454299163,0.46492799206467045,1.1028923751171396,1.239615156630734,1.310227234485184,1.3938076857651196
0.31686868686868686,0.034005449931449265,0.21465100612606425,0.33042216326052554,0.46528224117812583,1.090865831898195,1.2327447125246564,1.30560672010724,1.3915029628558906
0.32676767676767676,0.030474851192577125,0.2123707336907162,0.32972082278150616,0.4656228029889985,1.0789046708376935,1.2259833093008035,1.3010872695753235,1.3892701508872944
0.33666666666666667,0.026724069323300115,0.20999139172403491,0.32898764811222986,0.46595797852546794,1.0670107945645175,1.21933194654412,1.296669246641081,1.3871092515356729
0.3465656565656566,0.022751493523951526,0.2075163300088922,0.3282263806082615,0.4662897480118027,1.0551861545598238,1.2127915782381553,1.2923529707883399,1.3850202447178583
0.3564646464646465,0.018558354523175617,0.20494100325173742,0.3274338044913896,0.4666269156473787,1.0434327510456958,1.2063631104316903,1.288138716517539,1.3830030886215403
0.3663636363636364,0.014152757662078568,0.20228465627814762,0.32662776753472667,0.46695816272558893,1.0317526326977586,1.2000473989791318,1.2840267127268914,1.381057719768433
0.37626262626262624,0.009581727593952628,0.19954273831225386,0.3258044407654316,0.46729148217500865,1.020147896163985,1.1938452473669998,1.280017142193505,1.3791840531100172
0.38616161616161615,0.00509544235725679,0.19672711235767482,0.3249673229254668,0.4676285297675289,1.0086206853712096,1.187757404638678,1.276110141157194,1.377381982155521
0.39606060606060606,0.0018547384061510512,0.1938250356197099,0.3241127535569552,0.4679708876827935,0.9971731906002382,1.181784563429363,1.2723057990091786,1.3756513791316891
0.40595959595959596,0.0008040658108480873,0.19084822884835928,0.3232587514631589,0.4683272292979216,0.9858076473099446,1.1759273581227716,1.2686041580873326,1.3739920951737887
0.41585858585858587,0.0004907216830721905,0.1878003817005347,0.32240105530104435,0.46868526325344145,0.9745263346904296,1.1701863631406806,1.2650052135790693,1.3724039605471834
0.4257575757575758,0.0003527594020244671,0.18469422658353746,0.3215429244962996,0.4690529568848093,0.9633315739251619,1.1645620913757777,1.2615089135323831,1.3708867848987156
0.43565656565656563,0.0002861759443164784,0.18151645734813834,0.3206803327885337,0.46943161965631386,0.952225726142124,1.1590549927775844,1.2581151589749942,1.3694403575370337
0.44555555555555554,0.0002396368826155074,0.17828852321889455,0.3198313178775603,0.46982249844920576,0.9412111900343358,1.1536654531003956,1.2548238041409525,1.3680644477409132
0.45545454545454545,0.000198969757165513,0.1750057976574248,0.31899123386610057,0.4702337018859242,0.9302903991307936,1.1483937928212617,1.2516346568034948,1.3667588050945338
0.46535353535353535,0.00018044150610740185,0.1716726805093021,0.31815539111144253,0.47065296485383723,0.919465818699856,1.1432402662350223,1.2485474787123882,1.365523159848594
0.47525252525252526,0.0001640182445378224,0.16829362334969802,0.31734262646024436,0.47108782940315147,0.9087399422685039,1.1382050607323166,1.2455619861334486,1.364357223306075
0.48515151515151517,0.00014919051182691603,0.16487313595055988,0.3165475606208409,0.4715393065655849,0.8981152877426952,1.1332882962653308,1.2426778504873934,1.363260688231395
0.4950505050505051,0.0001355227637554474,0.16141578802358544,0.31577298530923764,0.4720083528167708,0.8875943931162872,1.1284900250048242,1.239894699084715,1.3622332292816424
0.5049494949494949,0.00012262290616051858,0.15792620714625044,0.31501418813000587,0.47249587147765437,0.877179811758743,1.123810231190718,1.237212115952769,1.3612745034585165
0.5148484848484849,0.00011938153852685481,0.1544090734283386,0.3142892077893547,0.47300271405382055,0.8668741072750723,1.1192488311772473,1.2346296427508658,1.3603841505795682
0.5247474747474747,0.00011628103941584456,0.15087854785781607,0.31359259582149085,0.4735365024470092,0.8566798479352156,1.1148056736723686,1.232146779768752,1.3595617937672961
0.5346464646464646,0.00010531081337697895,0.14733037088252793,0.31291935139044696,0.4740846300775962,0.8465996006743705,1.1104805401698328,1.2297629870035172,1.3588070399546166
0.5445454545454546,0.00010304046819664654,0.14376081005549873,0.31228741819183503,0.47465432520116113,0.8366359246705637,1.1062731455710466,1.2274776853096645,1.358119480405214
0.5544444444444444,0.00010085369382017727,0.14019296575345988,0.31169098444710225,0.47524624241374985,0.8267913645110613,1.1021831389926111,1.2252902576168103,1.3574986912472655
0.5643434343434344,9.088937598604491e-5,0.13662296397727278,0.31112497201372286,0.4758609906318287,0.8170684429649844,1.098210104754229,1.2232000502092728,1.356944234019013
0.5742424242424242,8.933288979663778e-5,0.13306528290177125,0.31060673139585643,0.47649913424483276,0.8074696533856526,1.0943535635405424,1.2212063740616297,1.3564556562246746
0.5841414141414142,8.782327208713273e-5,0.12950699397989804,0.31012271608488384,0.4771611942523777,0.7979974517726762,1.0906129737294117,1.2193085062242193,1.3560324918991853
0.594040404040404,8.635924323238077e-5,0.12597153986159287,0.3096907687132143,0.4778476493904091,0.7886542485305541,1.0869877328781676,1.2175056912524644,1.3556742621802702
0.6039393939393939,8.493954791130451e-5,0.12244624563440575,0.30929659507778146,0.47855893725004045,0.7794423999673945,1.0834771793585043,1.2157971426738803,1.3553804758863774
0.6138383838383838,7.608160431553962e-5,0.11895468470445193,0.308958247078694,0.4792954553922499,0.7703641995842299,1.0800805941299045,1.214182044486638,1.3551506300990233
0.6237373737373737,7.511450234272333e-5,0.11549308684058021,0.30866096543015714,0.48005756246104475,0.7614218692121006,1.076797202640826,1.2126595526836026,1.354984210748135
0.6336363636363637,7.416996190654595e-5,0.11206682320018371,0.30842270115838,0.4808455792971503,0.7526175500604649,1.0736261768463382,1.2112287967958686,1.354880693199008
0.6435353535353535,7.324758519494153e-5,0.10869052170962923,0.3082285358701862,0.48165979005373766,0.7439532937463924,1.0705666373304583,1.2098888814499338,1.3548395428395446
0.6534343434343435,7.234697573510025e-5,0.10535105135950217,0.3080959995692634,0.4825004433151511,0.7354310533792179,1.0676176555211294,1.2086388879328207,1.354860215666478
0.6633333333333333,7.146773839779537e-5,0.1020720654176474,0.3080103266228725,0.48336775321913883,0.7270526747797147,1.064778255985582,1.207477875759659,1.3549421588693427
0.6732323232323232,7.06094794014828e-5,0.09884017099707124,0.30798031939969533,0.4842619005825727,0.7188198879161917,1.06204741879374,1.2064048842384336,1.3550848114110003
0.6831313131313131,6.977180631618421e-5,0.09567921194418069,0.30801565023657457,0.4851830340302383,0.7107342986420894,1.0594240819373497,1.2054189340268875,1.355287604603584
0.693030303030303,6.895432806716419e-5,0.09258474604527474,0.30810064976153545,0.4861312711258668,0.702797380820481,1.0569071437926534,1.2045190286767933,1.3555499626787908
0.702929292929293,6.130674413358746e-5,0.08957118057126359,0.3082441579441498,0.4871066995042601,0.6950104689202776,1.0544954656146381,1.2037041561611224,1.3558713033515002
0.7128282828282828,6.0788079571894675e-5,0.08662432200962425,0.30845535076247854,0.4881093780030202,0.6873747511668037,1.052187874051225,1.202973290379911,1.3562510383757687
0.7227272727272728,6.0278107651857183e-5,0.08375812137754099,0.3087184577354418,0.4891393377922008,0.6798912633257014,1.049983163666143,1.2023253926409452,1.3566885740923045
0.7326262626262626,5.9776804829250335e-5,0.08098674888234393,0.30904197429925645,0.49019658349996525,0.672560883193849,1.0478800994597197,1.2017594131116835,1.357183311966597
0.7425252525252525,5.928414754503193e-5,0.07830481664259005,0.3094263397657105,0.49128109433221406,0.6653843258641824,1.045877419377336,1.2012742922391695,1.3577346491169335
0.7524242424242424,5.8800112226025354e-5,0.07570693184319204,0.30988003653392376,0.49239282518406274,0.658362139823086,1.0439738367958897,1.200868962134984,1.3583419788316022
0.7623232323232323,5.832467528557909e-5,0.07321617719539308,0.31038727571849545,0.4935317077409834,0.6514947039295069,1.0421680429792377,1.2005423479226243,1.3590046910746432
0.7722222222222223,5.78578131242039e-5,0.07082664672769916,0.31095606469613196,0.49469765156744977,0.6447822253143379,1.0404587094942501,1.2002933690449902,1.3597221729795725
0.7821212121212121,5.739950213018799e-5,0.06854185461445444,0.31158646201437523,0.4958905451809628,0.6382247382271237,1.0388444905797944,1.2001209405299715,1.360493809330563
0.7920202020202021,5.694971868019086e-5,0.06636508934535416,0.3122784377654526,0.49711025710941403,0.6318221038450307,1.037324025461679,1.200023974212435,1.3613189830306291
0.8019191919191919,5.650843913981676e-5,0.0642898213467798,0.31303187635466345,0.4983499454211765,0.625574011046564,1.0358959406072876,1.200001379911182,1.3621970755564212
0.8118181818181818,5.607563986416823e-5,0.062338136194997215,0.3138465795150485,0.49962309736215305,0.6194799781399901,1.03455885191436,1.2000520665597387,1.3631274673992897
0.8217171717171717,5.565129719838056e-5,0.06049326712532944,0.31472226954871624,0.5009225682852863,0.6135393555241467,1.0333113668290634,1.2001749432901,1.3641095384923376
0.8316161616161616,5.523538747813788e-5,0.05877700504106106,0.3156585927710294,0.5022481552042021,0.6077513292475468,1.0321520863892002,1.2003689204687948,1.3651426686232329
0.8415151515151515,5.482788703017128e-5,0.057172016993028645,0.31665512313041255,0.5035996401914107,0.602114925420701,1.0310796071890718,1.2006329106848845,1.366226237832598
0.8514141414141414,5.442877217274035e-5,0.05568983280195498,0.317711365973745,0.5049767913134575,0.5966290154266088,1.030092523263154,1.2009658296897232,1.3673596267978538
0.8613131313131314,4.734007982360071e-5,0.054322316074292575,0.318826761925438,0.5063793635372215,0.5912923218656214,1.0291894278863662,1.2013665972885155,1.3685422172024286
0.8712121212121212,4.709151374744674e-5,0.053090291403274495,0.3200006908472513,0.5078070996065924,0.586103425163499,1.0283689152893076,1.2018341381839028,1.3697733920902964
0.8811111111111111,4.684354222408347e-5,0.051975321108658226,0.3212245240793544,0.5092530603658584,0.5810607707656066,1.027629582287377,1.2023673827719734,1.371052536205847
0.891010101010101,4.659616531637286e-5,0.050978217093829506,0.32251371907108206,0.5107306963790805,0.576162676835858,1.0269700298232172,1.2029652678912697,1.3723790363191277
0.9009090909090909,4.634938308533679e-5,0.05011901607418745,0.3238592859418543,0.5122326506766036,0.5714073423762687,1.0263888644224008,1.2036267375254868,1.3737522815365355
0.9108080808080808,4.6103195590234176e-5,0.049368827746160866,0.3252603974407541,0.5137586239631163,0.5667928556817727,1.0258846995627162,1.204350743460713,1.3751716635970697
0.9207070707070707,4.585760288863818e-5,0.048756906107810534,0.32671618542782677,0.5153083088182213,0.5623172030452339,1.0254561569578091,1.205136245898156,1.3766365771542945
0.9306060606060607,4.5612605036513284e-5,0.04825385041255411,0.32821789305656784,0.5168813903883016,0.5579782776292368,1.0251018677563046,1.2059822140234067,1.3781464200441735
0.9405050505050505,4.5368202088292576e-5,0.04788855016288774,0.3297807256340479,0.5184775470466387,0.553773888424147,1.0248204736578501,1.2068876265333923,1.3797005935389839
0.9504040404040404,4.5124394096954774e-5,0.04764082671196132,0.3313954280230971,0.5200901468693356,0.5497017692159116,1.0246106279478162,1.2078514721222224,1.3812985025875288
0.9603030303030303,4.4881181114101445e-5,0.04750991821593529,0.3330610017225544,0.5217319154342397,0.5457595874919969,1.0244709964526306,1.2088727499272176,1.3829395560418924
0.9702020202020202,4.4638563190034175e-5,0.04750452392362841,0.33476886394527666,0.5233957392679526,0.5419449532194948,1.0244002584179492,1.2099504699364434,1.3846231668710045
0.9801010101010101,4.439654037383173e-5,0.04761371987341159,0.33653363125846547,0.5250812752672671,0.5382554274356552,1.0243971073120406,1.2110836533591258,1.3863487523612914
0.99,4.415511271342717e-5,0.04784589036197943,0.3383461400901065,0.5267881765867344,0.5346885305976959,1.0244602515569168,1.212271332960351,1.3881157343047172
