alpha,attackN1,attackN2,attackN3
0.0,0.4106681112547748,0.8001914310043734,0.9928289199842366
0.010101010101010102,0.4005312481866145,0.7945701688584297,0.9918270877482966
0.020202020202020204,0.39029219882671234,0.7888981722272962,0.9906919682674344
0.030303030303030304,0.37992841137321165,0.7831596445425296,0.9892861896144706
0.04040404040404041,0.36948651192394594,0.777370259703742,0.9875394590406211
0.050505050505050504,0.35894238817575413,0.7715175238356919,0.9854529856093062
0.06060606060606061,0.3483190082350574,0.7656075724806685,0.9830877679835187
0.0707070707070707,0.3375712384542015,0.7596508161042272,0.9805414774505963
0.08080808080808081,0.32672097500343705,0.7536317374519743,0.9779202875446755
0.09090909090909091,0.31579138517009836,0.7475666352879737,0.9753127494264385
0.10101010101010101,0.30475940957879916,0.741441865204849,0.9727716935819216
0.1111111111111111,0.29362582944064763,0.7352723422816572,0.9703082980730351
0.12121212121212122,0.2823909763678491,0.7290455358344441,0.9678978316600012
0.13131313131313133,0.271054707783741,0.7227756496291958,0.9654941156869581
0.1414141414141414,0.25963898582617523,0.7164506987048083,0.9630473079956946
0.15151515151515152,0.24812243354946587,0.7100847118726838,0.9605188925338162
0.16161616161616163,0.23650552695006238,0.703665781569873,0.9578912293411249
0.1717171717171717,0.22480970698212102,0.6972082283718373,0.9551685233177124
0.18181818181818182,0.21301415024122686,0.6906997946049511,0.9523713465439599
0.1919191919191919,0.2011398088800884,0.6841555424487877,0.9495274456681262
0.20202020202020202,0.18916651818432859,0.677562433765395,0.9466612837660576
0.21212121212121213,0.1771145456055902,0.6709367447275902,0.9437882782163097
0.2222222222222222,0.16496325548522595,0.6642715415011712,0.9409119828742343
0.23232323232323232,0.15275339586220668,0.657562776518653,0.9380264105032664
0.24242424242424243,0.14046293823642267,0.6508248743085802,0.935121404301192
0.25252525252525254,0.12809042248142555,0.6440455319897512,0.9321865026776668
0.26262626262626265,0.1156533362270889,0.6372414272070451,0.9292167112954561
0.2727272727272727,0.10314760116510417,0.6304061061716638,0.9262124989288214
0.2828282828282828,0.09056719220683665,0.6235347503767643,0.9231788155249581
0.29292929292929293,0.07796484719715631,0.6166440621296799,0.9201232004294161
0.30303030303030304,0.06529077252288673,0.6097280652428663,0.9170504958342971
0.31313131313131315,0.05260106007757558,0.6027816335047603,0.9139646859061784
0.32323232323232326,0.03992660846660346,0.5958226224356509,0.9108665515828208
0.3333333333333333,0.027323194814834764,0.5888449676313928,0.9077558895067879
0.3434343434343434,0.015137715448930429,0.5818511466926677,0.9046300264772719
0.35353535353535354,0.005277852696367798,0.5748361196819053,0.9014888500588705
0.36363636363636365,0.0017996978409470226,0.5678183576682279,0.8983329415390385
0.37373737373737376,0.0009932305190162823,0.5607922339999037,0.8951639269365526
0.3838383838383838,0.0006851591474682088,0.5537606044575472,0.8919851806729762
0.3939393939393939,0.0005298414251019988,0.5467264187342394,0.8887965760188771
0.40404040404040403,0.0004289441432454148,0.5396844213082622,0.8856004469847055
0.41414141414141414,0.0003556114689848964,0.5326547268613934,0.8823977035600234
0.42424242424242425,0.00032298703969614253,0.525631832373457,0.879190348885414
0.43434343434343436,0.00027689743371557465,0.5186190975943196,0.8759767483249725
0.4444444444444444,0.0002504275653851429,0.5116199792954771,0.8727587125114773
0.45454545454545453,0.00022583162769046602,0.5046380301193711,0.8695373037837975
0.46464646464646464,0.0002187365088794475,0.4976768964483578,0.8663137422444882
0.47474747474747475,0.0001968402438628163,0.490740315348151,0.8630913206090194
0.48484848484848486,0.00019125094494121028,0.4838321106217764,0.8598678820187245
0.494949494949495,0.00017127758009854858,0.4769561879987027,0.8566460630974716
0.5050505050505051,0.00016689175820190232,0.47011652947796806,0.8534269533599513
0.5151515151515151,0.00014820749384522014,0.4633171868422117,0.8502137327053534
0.5252525252525253,0.00014479520411393962,0.45656227436056396,0.847003997020805
0.5353535353535354,0.0001415039723611615,0.44985596070164907,0.8438005025686627
0.5454545454545454,0.00013832911195640313,0.4432024600827885,0.840604480656106
0.5555555555555556,0.00013526612521363077,0.4366060226876466,0.8374171854837925
0.5656565656565656,0.00011925392887051949,0.4300709243914058,0.8342426348546702
0.5757575757575758,0.00011687792448637294,0.4236108168767933,0.8310773673091624
0.5858585858585859,0.00011457672887278554,0.41721166432107876,0.827924785396517
0.5959595959595959,0.00011234783509461797,0.4108867477665208,0.8247861756296863
0.6060606060606061,0.00011018882226510999,0.40464032914753195,0.8216628330542941
0.6161616161616161,0.0001080973529636871,0.39847663582166215,0.8185594114474332
0.6262626262626263,0.00010607117070861412,0.3923998473188342,0.8154713797529616
0.6363636363636364,9.23167620900257e-5,0.38642351708112005,0.8124027309555747
0.6464646464646465,9.075120948981917e-5,0.3805332737998457,0.8093548129503346
0.6565656565656566,8.922890951869672e-5,0.3747420616724251,0.8063289736545767
0.6666666666666666,8.774863570173756e-5,0.3690537296785836,0.8033302933886871
0.6767676767676768,8.630919579878225e-5,0.36347201093601417,0.8003534648652303
0.6868686868686869,8.490943103470646e-5,0.35800992599874504,0.7974028772384815
0.696969696969697,8.35482153296478e-5,0.35265251551242377,0.7944798739287355
0.7070707070707071,8.222445452918942e-5,0.3474120839491863,0.7915857895552652
0.7171717171717171,8.093708563450085e-5,0.34229176956845436,0.7887257553238413
0.7272727272727273,7.96850760324375e-5,0.33729453408948074,0.7858941800289635
0.7373737373737373,7.846742272560175e-5,0.332432389140849,0.7830955493216667
0.7474747474747475,7.728315156236559e-5,0.32768972551886244,0.7803311459447726
0.7575757575757576,7.613131646685722e-5,0.32307784049662097,0.7776022315518554
0.7676767676767676,7.501099866891277e-5,0.31859889336447794,0.7749100443690912
0.7777777777777778,7.392130593399477e-5,0.31425482625828444,0.7722598802494085
0.7878787878787878,7.286137179307813e-5,0.3100473592758369,0.7696453662759821
0.797979797979798,7.183035477250565e-5,0.3059779867849325,0.7670711886068051
0.8080808080808081,7.082743762381385e-5,0.30204797496046154,0.7645384699699229
0.8181818181818182,6.985182655353042e-5,0.2982583605774083,0.762048298255163
0.8282828282828283,6.890275045294466e-5,0.29460995107484067,0.7596017245440722
0.8383838383838383,5.900094669749017e-5,0.2911033258928269,0.7571997612371513
0.8484848484848485,5.824715448706711e-5,0.2877388390699469,0.7548475536549435
0.8585858585858586,5.751186484483173e-5,0.2845166230736236,0.7525381335864727
0.8686868686868687,5.679468291032192e-5,0.2814365938193451,0.750276131466963
0.8787878787878788,5.609522677531876e-5,0.27849845681831015,0.7480623856518266
0.8888888888888888,5.541312748398888e-5,0.2757017143766462,0.745897687825623
0.898989898989899,5.474802903302326e-5,0.273037132044847,0.7437827819277774
0.9090909090909091,5.4099588371772586e-5,0.27052133789217464,0.741718363232202
0.9191919191919192,5.3467475402379106e-5,0.26814433744991273,0.73970507758321
0.9292929292929293,5.2851372979905146e-5,0.26589645975546256,0.7377435207894225
0.9393939393939394,5.225097691245858e-5,0.2637937848064016,0.7358342381765967
0.9494949494949495,5.1665995961315143e-5,0.2618172453691273,0.7339777242995073
0.9595959595959596,5.109615184103796e-5,0.259982921094124,0.7321744228121264
0.9696969696969697,5.054117921959405e-5,0.25827142913482454,0.7304293034666319
0.9797979797979798,5.000082571846836e-5,0.2566983866446684,0.7287337591288204
0.98989898989899,4.947485191277521e-5,0.25524463284466864,0.7270924403771397
1.0,4.896303133136714e-5,0.25391655263932283,0.7255055872509383
