alpha,R1,R2,R3
0.0,1.2727272727272727,1.8181818181818181,2.6363636363636362
0.010101010101010102,1.2637556545395585,1.805365220770798,2.617779570117657
0.020202020202020204,1.2548397439668975,1.7926282056669962,2.5993108982171447
0.030303030303030304,1.2459807255035307,1.779972465005044,2.5809600742573138
0.04040404040404041,1.237179801546231,1.7673997164946158,2.562729588917193
0.050505050505050504,1.2284381919042404,1.7549117027203434,2.5446219689444978
0.06060606060606061,1.2197571332394672,1.742510190342096,2.5266397759960393
0.0707070707070707,1.2111378784334075,1.730196969190582,2.508785605326344
0.08080808080808081,1.2025816958773128,1.7179738512533038,2.4910620843172904
0.09090909090909091,1.1940898686822217,1.705842669546031,2.473471870841745
0.10101010101010101,1.1856636938055725,1.6938052768651035,2.4560176514544
0.1111111111111111,1.1773044810912896,1.6818635444161278,2.4387021394033854
0.12121212121212122,1.16901355222042,1.6700193603148854,2.4215280724565837
0.13131313131313133,1.1607922395696404,1.6582746279566292,2.4044982105371124
0.1414141414141414,1.152641884975244,1.6466312642503484,2.387615333163005
0.15151515151515152,1.1445638384005357,1.635091197715051,2.370882236686824
0.16161616161616163,1.136559456504974,1.623656366435677,2.3543017313317316
0.1717171717171717,1.128630101113798,1.6123287158768542,2.3378766380214384
0.18181818181818182,1.1207771375874005,1.6011101965534291,2.3216097850024724
0.1919191919191919,1.1130019330902279,1.5900027615574683,2.3055040042583292
0.20202020202020202,1.1053058547595909,1.5790083639422725,2.289562127716295
0.21212121212121213,1.0976902677754212,1.5681289539648873,2.2737869832490865
0.2222222222222222,1.0901565333327048,1.5573664761895782,2.2581813904748884
0.23232323232323232,1.0827060065190737,1.5467228664558195,2.242748156360938
0.24242424242424243,1.07534003410083,1.5362000487154712,2.227490070637433
0.25252525252525254,1.068059952221511,1.525799931745016,2.212409901030273
0.26262626262626265,1.0608670840179735,1.515524405739962,2.1975103883229448
0.2727272727272727,1.0537627371598666,1.5053753387998094,2.1827942412597237
0.2828282828282828,1.0467482013192848,1.495354573313264,2.1682641313042326
0.29292929292929293,1.0398247455783112,1.4854639222547301,2.1539226872693584
0.30303030303030304,1.032993615783094,1.47570516540442,2.139772489836409
0.31313131313131315,1.026256031854004,1.46608004550572,2.125816065983294
0.32323232323232326,1.019613185062318,1.45659026437474,2.112055883343373
0.3333333333333333,1.013066235284725,1.4472374789781788,2.0984943445183593
0.3434343434343434,1.0066163082477488,1.4380232974967841,2.085133781370337
0.35353535353535354,1.0002644927749282,1.4289492753927546,2.0719764493194943
0.36363636363636365,0.9940118380502457,1.420016911500351,2.059024521675509
0.37373737373737376,0.9878593509118714,1.4112276441598164,2.0462800840317334
0.3838383838383838,0.9818079931907427,1.4025828474153468,2.033745128752253
0.3939393939393939,0.9758586791088477,1.394083827298354,2.0214215495826133
0.40404040404040403,0.9700122727522895,1.3857318182175564,2.009311136415457
0.41414141414141414,0.9642695856342817,1.3775279794775452,1.9974155702424405
0.42424242424242425,0.9586313743631459,1.3694733919473514,1.9857364183236594
0.43434343434343436,0.9530983384301531,1.3615690549002186,1.9742751296053171
0.4444444444444444,0.9476711181316516,1.3538158830452165,1.9630330304155639
0.45454545454545453,0.9423502926393744,1.3462147037705348,1.9520113204672755
0.46464646464646464,0.9371363782321069,1.3387662546172956,1.9412110691950786
0.47474747474747475,0.9320298267010129,1.331471181001447,1.930633212452098
0.48484848484848486,0.9270310239399104,1.324330034199872,1.9202785495898145
0.494949494949495,0.9221402887306117,1.3173432696151595,1.9101477409419814
0.5050505050505051,0.9173578717321615,1.3105112453316592,1.900241305730906
0.5151515151515151,0.9126839546813927,1.3038342209734182,1.8905596204114563
0.5252525252525253,0.908118649810722,1.29731235687246,1.8811029174650669
0.5353535353535354,0.9036619994875238,1.2909457135536053,1.8718712846527277
0.5454545454545454,0.8993139760777789,1.284734251539684,1.862864664732542
0.5555555555555556,0.8950744820350227,1.2786778314786038,1.8540828556439757
0.5656565656565656,0.8909433502139236,1.2727762145913193,1.845525511157413
0.5757575757575758,0.886920344406147,1.2670290634373529,1.8371921419841615
0.5858585858585859,0.8830051600945035,1.2614359429921478,1.8290821173386143
0.5959595959595959,0.8791974254197905,1.2559963220282722,1.8211946669409946
0.6060606060606061,0.8754967023532154,1.2507095747903079,1.8135288834459462
0.6161616161616161,0.8719024880658532,1.245574982951219,1.8060837252792674
0.6262626262626263,0.868414216485283,1.2405917378361186,1.798858019862372
0.6363636363636364,0.865031260028353,1.2357589428976472,1.7918504672015882
0.6464646464646465,0.8617529314979699,1.2310756164256713,1.7850596438172235
0.6565656565656566,0.8585784861309074,1.2265406944727248,1.7784840069854508
0.6666666666666666,0.8555071237828792,1.2221530339755418,1.7721218992645353
0.6767676767676768,0.8525379912365342,1.2179114160521916,1.765971553275678
0.6868686868686869,0.8496701846176015,1.2138145494537163,1.7600310967078887
0.696969696969697,0.846902751904151,1.209861074148787,1.7542985575157413
0.7070707070707071,0.8442346955138267,1.2060495650197522,1.748771869278641
0.7171717171717171,0.8416649749539395,1.202378535648485,1.7434488766903034
0.7272727272727273,0.8391925095195072,1.1988464421707246,1.7383273411475506
0.7373737373737373,0.8368161810246276,1.1954516871780394,1.7334049464081571
0.7474747474747475,0.8345348365530199,1.1921926236471712,1.7286793042883983
0.7575757575757576,0.8323472912141122,1.1890675588773032,1.7241479603720897
0.7676767676767676,0.8302523308916889,1.1860747584166984,1.7198083997042128
0.7777777777777778,0.8282487149728429,1.1832124499612042,1.715658052443746
0.7878787878787878,0.8263351790457617,1.180478827208231,1.7116942994519349
0.797979797979798,0.8245104375557216,1.1778720536510308,1.7079144777939947
0.8080808080808081,0.8227731864095501,1.1753902662993572,1.704315886134068
0.8181818181818182,0.8211221055197194,1.1730315793138848,1.700895790005133
0.8282828282828283,0.8195558612801683,1.1707940875430976,1.6976514269374916
0.8383838383838383,0.818073108966865,1.1686758699526643,1.6945800114313632
0.8484848484848485,0.8166724950570492,1.1666749929386417,1.6916787397610304
0.8585858585858586,0.8153526594619914,1.1647895135171307,1.6889447945998393
0.8686868686868687,0.8141122376689774,1.1630174823842534,1.6863753494571674
0.8787878787878788,0.8129498627890738,1.161356946841534,1.6839675729202241
0.8888888888888888,0.8118641675080294,1.159805953582899,1.6817186326952036
0.898989898989899,0.8108537859384254,1.1583625513406077,1.6796256994438812
0.9090909090909091,0.8099173553719009,1.15702479338843,1.6776859504132233
0.9191919191919192,0.8090535179309333,1.1557907399013332,1.6758965728569333
0.9292929292929293,0.8082609221202712,1.1546584601718162,1.6742547672491332
0.9393939393939394,0.8075382242786573,1.153626034683796,1.6727577502915043
0.9494949494949495,0.8068840899319902,1.1526915570457004,1.6714027577162653
0.9595959595959596,0.8062971950495147,1.151853135785021,1.6701870468882805
0.9696969696969697,0.8057762272050251,1.1511088960071787,1.669107899210409
0.9797979797979798,0.8053198866454102,1.1504569809220146,1.668162622336921
0.98989898989899,0.8049268872691637,1.1498955532416626,1.6673485522004106
1.0,0.8045959575177335,1.149422796453905,1.6666630548581622
